system,candidate_nodes,node,visit_count,trajectories,er,er_ge_10,er_ge_30
Browser,All non-trivial nodes,497,0,16,0.0,False,False
Browser,All non-trivial nodes,498,0,16,0.0,False,False
Browser,All non-trivial nodes,499,0,16,0.0,False,False
Browser,All non-trivial nodes,5,1,16,0.0625,False,False
Browser,All non-trivial nodes,50,0,16,0.0,False,False
Browser,All non-trivial nodes,500,0,16,0.0,False,False
Browser,All non-trivial nodes,501,0,16,0.0,False,False
Browser,All non-trivial nodes,502,0,16,0.0,False,False
Browser,All non-trivial nodes,503,0,16,0.0,False,False
Browser,All non-trivial nodes,504,0,16,0.0,False,False
Browser,All non-trivial nodes,505,0,16,0.0,False,False
Browser,All non-trivial nodes,506,0,16,0.0,False,False
Browser,All non-trivial nodes,507,0,16,0.0,False,False
Browser,All non-trivial nodes,508,0,16,0.0,False,False
Browser,All non-trivial nodes,509,0,16,0.0,False,False
Browser,All non-trivial nodes,51,0,16,0.0,False,False
Browser,All non-trivial nodes,510,0,16,0.0,False,False
Browser,All non-trivial nodes,511,2,16,0.125,True,False
Browser,All non-trivial nodes,512,2,16,0.125,True,False
Browser,All non-trivial nodes,513,0,16,0.0,False,False
Browser,All non-trivial nodes,514,0,16,0.0,False,False
Browser,All non-trivial nodes,515,1,16,0.0625,False,False
Browser,All non-trivial nodes,516,0,16,0.0,False,False
Browser,All non-trivial nodes,517,1,16,0.0625,False,False
Browser,All non-trivial nodes,518,0,16,0.0,False,False
Browser,All non-trivial nodes,519,0,16,0.0,False,False
Browser,All non-trivial nodes,52,0,16,0.0,False,False
Browser,All non-trivial nodes,520,0,16,0.0,False,False
Browser,All non-trivial nodes,521,0,16,0.0,False,False
